smiles	CYP3A4	hERG_pIC50
[2H]C([2H])([2H])Oc1cc(ncc1C#N)C(O)CN2CCN(C[C@H](O)c3ccc4C(=O)OCc4c3C)CC2	*	4.52
[2H]C([2H])(N[C@H]1C[S+]([O-])C[C@@H](Cc2cc(F)c(N)c(O[C@H](COC)C(F)(F)F)c2)[C@@H]1O)c3cccc(c3)C(C)(C)C	7	*
[2H]C([2H])(O)CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)[N+](=O)[O-])c3c2)C(F)(F)F	*	6.8
[2H]C(Nc1cc(cc2ncc(cc12)N3CCN(C)CC3)C(F)(F)F)c4cccc(c4)[N+](=O)[O-]	*	5.9
[2H]C(Nc1cc(cc2ncc(cc12)N3CCN(CC([2H])([2H])O)CC3)C(F)(F)F)c4cccc(c4)[N+](=O)[O-]	*	6.32
[Br-].C[N+](C)(CCCCNC(=O)Cc1ccc(OCc2ccccc2)cc1)CCNC(=O)c3nc(Cl)c(N)nc3N	*	4.97
[Br-].CC(C)COc1ccc(cc1)C2(CC[N+](C)(C)CC2)C#N	4.4	*
[Br-].CC[n+]1c(c2ccccc2)c3cc(N)ccc3c4ccc(N)cc14	5	*
[Br-].Cc1c(CCOC(=O)C2C3CC4CC(CC2C4)C3)sc[n+]1CC(=O)c5ccc(Br)cc5	4.9	*
[Br-].Cc1ccc(cc1)[n+]2c3CCc4ccc5cccnc5c4n3cc2c6ccc(Br)cc6	5.35	*
[Br-].Cc1ccc(cc1)c2csc(NNC(=O)Nc3ccccc3)[n+]2CC=C	5.45	*
[Br-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC	4.9	*
[Br-].CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1	4.5	*
[Br-].CCOC(=O)C[n+]1c(C)sc2ccc(OC)cc12	5.45	*
[Br-].COc1ccc(cc1)c2c[n+]3CC(=C4CCCCn2c34)c5ccccc5	5.5	*
[Cl-].[Cl-].Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]3c(C)cc(N)c4ccccc34	4.8	*
[Cl-].C[N+](C)(C)CCO	4.5	*
[Cl-].C[N+]12CCC(CC1)C(O)(C2=C)c3ccccc3	5.5	*
[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13	4.6	*
